"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2025,NJ,,17970,SERFF,1,1/13/2025,,Individual,No,,17970NJ0010003,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits",17970NJ001,,NJN001,NJS001,NJF001,Existing,EPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2025,,No,,No,,No,,,,,17970NJ0010003-01,"Standard Silver On Exchange Plan",71.11%,,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$9,200 ","$9200 per person | $18400 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,500 ","$2500 per person | $5000 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$2,500 ","$50 ","$3,900 ","$60 ","$2,500 ","$200 ","$1,000 ","$20 ",100%,"Not Applicable",No,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits","$2,500 ","$0 ","$100 ","$0 "
2025,NJ,,17970,SERFF,1,1/13/2025,,Individual,No,,17970NJ0010003,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits",17970NJ001,,NJN001,NJS001,NJF001,Existing,EPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2025,,No,,No,,No,,,,,17970NJ0010003-02,"Zero Cost Sharing Plan Variation",100.00%,,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits","$0 ","$0 ","$0 ","$0 "
2025,NJ,,17970,SERFF,1,1/13/2025,,Individual,No,,17970NJ0010003,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits",17970NJ001,,NJN001,NJS001,NJF001,Existing,EPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2025,,No,,No,,No,,,,,17970NJ0010003-03,"Limited Cost Sharing Plan Variation",71.11%,,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$9,200 ","$9200 per person | $18400 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,500 ","$2500 per person | $5000 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits","$0 ","$0 ","$0 ","$0 "
2025,NJ,,17970,SERFF,1,1/13/2025,,Individual,No,,17970NJ0010003,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits",17970NJ001,,NJN001,NJS001,NJF001,Existing,EPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2025,,No,,No,,No,,,,,17970NJ0010003-04,"73% AV Level Silver Plan",73.58%,,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$7,350 ","$7350 per person | $14700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,400 ","$2400 per person | $4800 per group",35.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$2,400 ","$50 ","$3,400 ","$60 ","$2,400 ","$200 ","$700 ","$20 ",100%,"Not Applicable",No,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits","$2,400 ","$0 ","$100 ","$0 "
2025,NJ,,17970,SERFF,1,1/13/2025,,Individual,No,,17970NJ0010003,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits",17970NJ001,,NJN001,NJS001,NJF001,Existing,EPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2025,,No,,No,,No,,,,,17970NJ0010003-05,"87% AV Level Silver Plan",87.71%,,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$3,000 ","$3000 per person | $6000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$900 ","$900 per person | $1800 per group",15.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$900 ","$30 ","$1,500 ","$60 ","$900 ","$200 ","$600 ","$20 ",100%,"Not Applicable",No,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits","$900 ","$0 ","$300 ","$0 "
2025,NJ,,17970,SERFF,1,1/13/2025,,Individual,No,,17970NJ0010003,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits",17970NJ001,,NJN001,NJS001,NJF001,Existing,EPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2025,,No,,No,,No,,,,,17970NJ0010003-06,"94% AV Level Silver Plan",94.56%,,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$1,900 ","$1900 per person | $3800 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$150 ","$150 per person | $300 per group",10.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$150 ","$20 ","$1,000 ","$60 ","$150 ","$100 ","$500 ","$20 ",100%,"Not Applicable",No,"Secure Silver with $0 Insulin Options + $0 Virtual 24/7 Care Visits","$150 ","$0 ","$300 ","$0 "
2025,NJ,,17970,SERFF,1,1/13/2025,,Individual,No,,17970NJ0010006,"Premium Silver + $0 Virtual 24/7 Care Visits",17970NJ001,,NJN001,NJS001,NJF002,Existing,EPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2025,,No,,No,,No,,,,,17970NJ0010006-01,"Standard Silver On Exchange Plan",70.46%,,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$8,700 ","$8700 per person | $17400 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,500 ","$2500 per person | $5000 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$2,500 ","$500 ","$3,000 ","$60 ","$2,500 ","$600 ","$600 ","$20 ",100%,"Not Applicable",No,"Premium Silver + $0 Virtual 24/7 Care Visits","$2,000 ","$600 ","$0 ","$0 "
2025,NJ,,17970,SERFF,1,1/13/2025,,Individual,No,,17970NJ0010006,"Premium Silver + $0 Virtual 24/7 Care Visits",17970NJ001,,NJN001,NJS001,NJF002,Existing,EPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2025,,No,,No,,No,,,,,17970NJ0010006-02,"Zero Cost Sharing Plan Variation",100.00%,,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,"Premium Silver + $0 Virtual 24/7 Care Visits","$0 ","$0 ","$0 ","$0 "
2025,NJ,,17970,SERFF,1,1/13/2025,,Individual,No,,17970NJ0010006,"Premium Silver + $0 Virtual 24/7 Care Visits",17970NJ001,,NJN001,NJS001,NJF002,Existing,EPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2025,,No,,No,,No,,,,,17970NJ0010006-03,"Limited Cost Sharing Plan Variation",70.46%,,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$8,700 ","$8700 per person | $17400 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,500 ","$2500 per person | $5000 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,"Premium Silver + $0 Virtual 24/7 Care Visits","$0 ","$0 ","$0 ","$0 "
2025,NJ,,17970,SERFF,1,1/13/2025,,Individual,No,,17970NJ0010006,"Premium Silver + $0 Virtual 24/7 Care Visits",17970NJ001,,NJN001,NJS001,NJF002,Existing,EPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2025,,No,,No,,No,,,,,17970NJ0010006-04,"73% AV Level Silver Plan",73.25%,,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$6,850 ","$6850 per person | $13700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,250 ","$2250 per person | $4500 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$2,250 ","$500 ","$2,500 ","$60 ","$2,250 ","$600 ","$700 ","$20 ",100%,"Not Applicable",No,"Premium Silver + $0 Virtual 24/7 Care Visits","$2,000 ","$600 ","$0 ","$0 "
