"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","FEDERAL TIN","RATE EXPIRATION","RATE EFFECTIVE DATE","PLAN ID","RATING AREA ID",TOBACCO,AGE,QHP_NON_QHP_TYPE_ID,"INDIVIDUAL RATE","INDIVIDUAL TOBACCO RATE",COUPLE,"PRIMARY SUBSCRIBER AND ONE DEPENDENT","PRIMARY SUBSCRIBER AND TWO DEPENDENTS","PRIMARY SUBSCRIBER AND THREE OR MORE DEPENDENTS","COUPLE AND ONE DEPENDENT","COUPLE AND TWO DEPENDENTS","COUPLE AND THREE OR MORE DEPENDENTS"
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",0-14,Both,341.35,341.35,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",15,Both,371.69,371.69,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",16,Both,383.29,383.29,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",17,Both,394.90,394.90,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",18,Both,407.39,407.39,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",19,Both,419.88,419.88,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",20,Both,432.82,432.82,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",21,Both,446.22,446.22,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",22,Both,446.22,446.22,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",23,Both,446.22,446.22,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",24,Both,446.22,446.22,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",25,Both,447.99,447.99,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",26,Both,456.92,456.92,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",27,Both,467.63,467.63,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",28,Both,485.03,485.03,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",29,Both,499.31,499.31,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",30,Both,506.45,506.45,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",31,Both,517.16,517.16,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",32,Both,527.87,527.87,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",33,Both,534.56,534.56,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",34,Both,541.70,541.70,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",35,Both,545.27,545.27,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",36,Both,548.84,548.84,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",37,Both,552.41,552.41,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",38,Both,555.98,555.98,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",39,Both,563.12,563.12,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",40,Both,570.26,570.26,,,,,,,
2026,NJ,17970,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,17970NJ0010003,"Rating Area 1","Tobacco User/Non-Tobacco User",41,Both,580.96,580.96,,,,,,,
